Feature,Importance
fBodyGyro-min()-Z,0.00028972464842869214
tBodyGyro-min()-Y,0.0002891674697533909
tBodyAcc-mean()-Y,0.0002890030853919547
tBodyGyroJerk-max()-Y,0.000287312424098333
tBodyGyroJerkMag-entropy(),0.0002856004009945309
"tBodyGyro-arCoeff()-Z,4",0.00028499816020258157
"tBodyGyro-arCoeff()-Y,2",0.0002831122155918487
fBodyAccJerk-entropy()-Z,0.00028297167445835296
"tBodyGyroJerk-arCoeff()-Z,3",0.0002817983594605149
fBodyBodyGyroMag-kurtosis(),0.00028161910779987183
fBodyGyro-mean()-Z,0.00028065685996293144
fBodyAccJerk-mean()-Z,0.00028026204033841147
"fBodyAccJerk-bandsEnergy()-25,32",0.000279780830893225
"fBodyGyro-bandsEnergy()-49,56",0.0002790793350812441
"tBodyAccJerk-arCoeff()-Z,3",0.0002780849671249139
"fBodyGyro-bandsEnergy()-25,48",0.00027752561949370713
tBodyGyroJerk-energy()-Z,0.0002761088128700279
tBodyAccMag-entropy(),0.0002757544965963881
"fBodyGyro-bandsEnergy()-17,32",0.00027553431291989954
tBodyGyroJerk-min()-Z,0.0002735541415965742
tBodyAccJerk-max()-Y,0.0002732045499414693
"fBodyGyro-bandsEnergy()-17,32",0.00027249307839393404
fBodyBodyGyroMag-mad(),0.00027233432086742356
tBodyAccJerk-min()-Y,0.0002713256148221515
fBodyBodyGyroJerkMag-kurtosis(),0.00027105456703536973
tBodyGyro-max()-Y,0.00027084789453610367
"fBodyAccJerk-bandsEnergy()-17,24",0.00026723730404216094
"fBodyAccJerk-bandsEnergy()-17,32",0.00026565073868402723
"fBodyGyro-bandsEnergy()-17,24",0.0002617700636008679
fBodyAccJerk-kurtosis()-Z,0.00026108897175054275
fBodyAccJerk-kurtosis()-Y,0.0002603883656490113
tBodyAccJerkMag-arCoeff()2,0.0002575841478183026
"tBodyAccJerk-arCoeff()-X,4",0.00025708856723004407
fBodyBodyGyroJerkMag-mad(),0.0002568834291410145
fBodyAccJerk-skewness()-Z,0.00025472532516915893
"tBodyAccJerk-arCoeff()-Y,2",0.0002531187002605436
fBodyAcc-mad()-Y,0.0002526859936571695
tBodyAccJerk-min()-X,0.0002521235155748737
tBodyGyroJerk-mean()-Z,0.00025209538228734
"fBodyAccJerk-bandsEnergy()-49,56",0.0002503743260622922
tBodyGyroMag-arCoeff()1,0.0002482429932870834
"fBodyGyro-bandsEnergy()-33,48",0.0002478148772715571
"fBodyGyro-bandsEnergy()-49,56",0.00024705970712096437
"fBodyAccJerk-bandsEnergy()-25,48",0.00024645953608048803
tGravityAcc-iqr()-Z,0.00024266806599998147
"fBodyAcc-bandsEnergy()-17,24",0.00024138447903459395
tBodyGyroMag-arCoeff()2,0.0002399061055796206
tBodyAccJerk-min()-Z,0.0002396323177086995
tBodyAcc-max()-Y,0.00023943387474433938
fBodyGyro-entropy()-Z,0.00023847968192673052
"tBodyAccJerk-arCoeff()-X,1",0.000237633409371882
tBodyGyroJerk-entropy()-Y,0.00023728168051232766
tGravityAccMag-arCoeff()3,0.00023657816508637056
tGravityAccMag-arCoeff()4,0.00023639469982719103
"tBodyGyro-arCoeff()-X,4",0.0002346802392400427
"fBodyGyro-bandsEnergy()-49,64",0.00023377211330183085
"tBodyAccJerk-arCoeff()-Z,2",0.0002332224113161855
"fBodyAccJerk-bandsEnergy()-33,48",0.00023229061965984488
"tBodyGyroJerk-arCoeff()-Z,1",0.00023176503535463118
tBodyGyroJerkMag-min(),0.00023029843400426044
tBodyGyroJerkMag-arCoeff()2,0.00022823195992464868
"tBodyGyro-arCoeff()-Z,3",0.00022758679681335081
"tBodyGyro-arCoeff()-X,2",0.00022697718765181423
tBodyAcc-mean()-X,0.00022646197461283457
"fBodyAcc-bandsEnergy()-25,32",0.00022630314374263253
